Operateur;2G;3G;4G;city
Free;0;1;1;paule
Orange;1;1;0;paule
Orange;1;1;1;plounévez-moëdec
Bouygue;1;1;1;lorient
SFR;1;1;1;lorient
Free;0;1;1;lorient
Bouygue;1;1;0;pleumeur-bodou
SFR;1;1;1;pleumeur-bodou
Orange;1;1;1;larmor-plage
Free;0;1;1;pleumeur-bodou
Orange;1;1;0;meslan
SFR;1;1;1;loguivy-plougras
Bouygue;1;1;1;loguivy-plougras
Free;0;1;1;loguivy-plougras
Free;0;1;1;pont-scorff
Orange;1;1;1;lorient
Bouygue;1;1;1;guilligomarc'h
SFR;1;1;1;guilligomarc'h
SFR;1;1;1;larmor-plage
Bouygue;1;1;1;larmor-plage
Bouygue;1;1;1;pont-scorff
SFR;1;1;0;pont-scorff
Orange;1;1;0;pont-scorff
SFR;1;1;0;plouaret
Bouygue;1;1;1;plouaret
Free;0;1;1;plouaret
Orange;1;1;1;plouaret
Bouygue;1;1;1;duault
SFR;1;1;1;duault
SFR;1;1;0;trégastel
SFR;1;1;1;lannion
Bouygue;1;1;1;lannion
Free;0;1;1;lannion
Orange;1;1;1;pleumeur-bodou
Orange;1;1;1;trégastel
Orange;1;1;0;cléguer
Bouygue;1;1;1;trégastel
Orange;1;1;1;lannion
Bouygue;1;1;1;plounévez-moëdec
SFR;1;1;0;plounévez-moëdec
Orange;1;1;0;port-louis
Free;0;1;1;lanester
Orange;1;1;1;lanester
Orange;1;1;0;glomel
Bouygue;1;1;0;perros-guirec
Bouygue;1;1;1;maël-carhaix
SFR;1;1;1;maël-carhaix
SFR;1;1;0;vieux-marché
Bouygue;1;1;1;vieux-marché
Bouygue;1;1;1;cléguer
SFR;1;1;1;cléguer
Free;0;1;1;cléguer
SFR;1;1;1;caudan
Bouygue;1;1;0;locarn
Free;0;1;0;locarn
SFR;1;1;0;locarn
Orange;1;1;0;locarn
Bouygue;1;1;1;caudan
Orange;1;1;0;perros-guirec
Orange;1;1;0;caudan
Free;0;1;0;perros-guirec
SFR;1;1;0;perros-guirec
Free;0;1;1;caudan
Bouygue;1;1;1;callac
SFR;1;1;1;callac
Orange;1;1;0;callac
Bouygue;1;1;1;lanester
SFR;1;1;1;lanester
Orange;0;0;0;riantec
Bouygue;1;1;1;riantec
Free;0;1;1;riantec
SFR;1;1;1;riantec
Orange;1;1;0;locmiquélic
Orange;1;1;0;ploubezre
SFR;1;1;1;saint-quay-perros
Bouygue;1;1;1;saint-quay-perros
Orange;1;1;0;saint-quay-perros
Bouygue;1;1;1;saint-caradec-trégomel
SFR;1;1;1;saint-caradec-trégomel
Bouygue;1;1;0;saint-servais
SFR;1;1;0;saint-servais
Free;0;1;0;saint-servais
Bouygue;1;1;1;ploubezre
Free;0;1;1;ploubezre
SFR;1;1;1;ploubezre
SFR;1;1;1;plouay
Orange;1;1;1;plouay
Bouygue;1;1;1;plouay
Free;0;1;1;plouay
SFR;1;1;0;plouray
Bouygue;1;1;0;plouray
Free;0;1;0;plouray
Orange;1;1;0;plouray
Bouygue;1;1;1;trégrom
SFR;1;1;0;trégrom
Bouygue;1;0;0;belle-isle-en-terre
SFR;1;1;0;kervignac
Orange;1;1;0;kervignac
SFR;1;1;0;rospez
Bouygue;1;1;1;rospez
Orange;1;1;0;hennebont
SFR;1;1;0;bangor
Orange;1;1;0;bangor
Bouygue;1;1;0;bangor
Orange;1;1;1;plougonver
Free;0;1;1;louannec
Bouygue;1;1;0;louannec
SFR;0;1;1;louannec
Bouygue;1;1;0;caouënnec-lanvézéac
Orange;1;1;0;caouënnec-lanvézéac
Bouygue;1;1;1;hennebont
SFR;1;1;1;hennebont
Free;0;1;1;hennebont
SFR;1;1;1;sauzon
Bouygue;1;1;1;sauzon
Orange;1;1;0;sauzon
SFR;1;1;1;inguiniel
Bouygue;1;1;1;inguiniel
Free;0;1;1;inguiniel
Bouygue;1;1;1;louargat
SFR;1;1;1;louargat
Bouygue;1;1;1;inzinzac-lochrist
Free;0;1;1;inzinzac-lochrist
SFR;1;1;1;inzinzac-lochrist
Orange;1;1;0;inzinzac-lochrist
Bouygue;1;1;1;rostrenen
Orange;1;1;1;rostrenen
SFR;1;1;1;rostrenen
Bouygue;1;1;0;kervignac
Free;0;1;1;kervignac
Bouygue;1;1;1;lanvaudan
SFR;1;1;1;lanvaudan
Free;0;1;0;lanvaudan
Orange;1;1;0;ploërdut
Bouygue;1;1;0;kergrist-moëlou
